state,x,y,solvedness
"[0, 2, 1, 5, 0, 5, 2, 0, 1, 5, 1, 5, 0, 1, 5, 0, 2, 1, 5, 1, 4, 0, 2, 0, 2, 2, 3, 0, 3, 2, 3, 3, 2, 1, 3, 2, 5, 4, 4, 1, 4, 4, 0, 4, 4, 3, 4, 3, 3, 5, 1, 3, 5, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-33.7684,13.2206,0.3888888888888889
"[5, 0, 2, 5, 0, 2, 1, 0, 5, 3, 3, 4, 1, 1, 2, 1, 5, 2, 4, 0, 0, 4, 2, 1, 1, 5, 0, 0, 1, 2, 3, 3, 2, 5, 3, 3, 3, 3, 3, 4, 4, 1, 1, 0, 2, 5, 4, 0, 2, 5, 4, 4, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.136498,24.84005,0.2962962962962963
"[0, 4, 2, 5, 0, 1, 3, 0, 5, 3, 5, 2, 1, 1, 2, 1, 2, 2, 4, 1, 3, 0, 2, 3, 4, 2, 4, 1, 3, 3, 3, 3, 5, 5, 3, 1, 4, 4, 1, 4, 4, 0, 5, 4, 0, 0, 0, 2, 2, 5, 1, 5, 5, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-48.061287,24.284779,0.3888888888888889
"[4, 4, 1, 1, 0, 1, 5, 0, 0, 2, 5, 1, 2, 1, 0, 4, 2, 4, 2, 0, 5, 4, 2, 3, 2, 2, 3, 3, 3, 0, 3, 3, 1, 3, 3, 1, 1, 5, 0, 4, 4, 1, 5, 2, 0, 2, 4, 3, 5, 5, 0, 5, 5, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-34.94241,76.02769,0.3888888888888889
"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 5, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",99.43642,85.867836,0.8888888888888888
"[4, 2, 2, 0, 0, 0, 3, 5, 0, 5, 2, 2, 1, 1, 3, 1, 1, 3, 4, 4, 2, 5, 2, 2, 5, 2, 2, 1, 3, 3, 1, 3, 3, 5, 3, 3, 0, 0, 1, 4, 4, 4, 4, 4, 4, 0, 0, 1, 5, 5, 1, 5, 5, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",19.751734,54.404366,0.5370370370370371
"[4, 2, 3, 0, 0, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 0, 0, 4, 2, 2, 5, 2, 2, 0, 2, 2, 5, 4, 4, 0, 3, 3, 3, 3, 3, 3, 1, 5, 0, 1, 4, 4, 1, 4, 4, 2, 4, 2, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",48.000546,109.883224,0.5925925925925926
"[3, 3, 5, 0, 0, 2, 0, 0, 2, 2, 0, 5, 2, 1, 1, 4, 1, 1, 1, 5, 0, 4, 2, 3, 4, 2, 3, 3, 0, 5, 3, 3, 5, 3, 3, 4, 2, 2, 0, 4, 4, 4, 4, 4, 2, 1, 1, 0, 1, 5, 5, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",76.047264,54.895535,0.4444444444444444
"[4, 1, 4, 0, 0, 0, 0, 0, 0, 1, 1, 5, 0, 1, 4, 1, 1, 2, 5, 5, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 0, 4, 4, 4, 4, 4, 4, 1, 2, 2, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",53.97877,68.44636,0.7037037037037037
"[1, 1, 3, 0, 0, 3, 0, 0, 3, 0, 2, 5, 0, 1, 5, 0, 0, 1, 2, 2, 4, 2, 2, 1, 2, 2, 1, 4, 4, 2, 3, 3, 3, 3, 3, 3, 5, 1, 0, 4, 4, 4, 4, 4, 4, 1, 1, 2, 5, 5, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",52.552708,95.04905,0.5555555555555556
